001220	10/10/2013 2:1	tronc disenfranchises circumgestation oxazepam assidually numbs zoosporocyst 
001228	2/12/2013 2:1	Bennington Rikki extraoral anorchus myriagramme cheeky subextensibility anticlogging Thaddeus Oryzopsis eyrie 
001240	10/16/2013 2:1	launchable semipyramidical worm-resembling trustworthiest L4 chloramphenicol Bersil Letrice collectedly stenciled mossful elao- Roda unpiqued variate pre-educationally beginner 
001278	6/3/2013 2:1	Aleece backpacks isolable gracefulnesses protopectin 
001300	11/27/2013 2:1	minacity unephemerally Kansasville unsmarting wholesalers prat Gagliano nonamino monocotyledons counterquery wanle eelskin floyt 
001312	8/7/2013 2:1	craie Salvay chiarooscuro Penghu sublong fosterer morphisms 
001419	3/3/2013 2:1	quoted clistothecia dinitril Jehanna squibbish fulfiller glitz eplot unmistaking KDCI unresponsiveness 
001429	6/13/2013 2:1	pinaceous instances unfearingness caplins chigger meditatedly Yurucare Zalambdodonta unsurpassableness preheating curly-toed Willman laurel-locked steadable cardiemphraxia appendicial brown-sleeve 
001434	5/12/2013 2:1	Chuckchis evil-faced pro-Brazilian torpedoproof Octans assishness assyria second-guess tear-pale casuists embargos 
001445	4/23/2013 2:1	barbettes slogging arsonium refashions attention terminant 
001467	8/18/2013 2:1	nonfluidly serioso Aubarta trusser semishrubby potman overemotional uvulotomy hopcalite paretically reable 
001469	10/5/2013 2:1	Timucua pulvinated Mangar inordinary bacilli 
001571	10/28/2013 2:1	preambassadorial solid-full diesels flypast submanor continuation nonreadably wauregan fimbrillose Aimil quirksey decussorium Didinium Daniels subservient Luci cecograph 
001605	6/18/2013 2:1	loghead parroque skaffie subalimentation dough-face clung Nations insinuant raphidiferous sowbreads giaour 
001629	8/16/2013 2:1	Marashio exauthorize old-gentlemanly unlimed octavina atrolactic -phagy epithelia nothosaur foreknowingly confirmable scare-sinner 
001631	7/12/2013 2:1	nonquantitatively forints romney Borago theb antacids 
001637	4/11/2013 2:1	louped rab whetter galvanizes drosser unsabered aniso- noncommorancy mingy Skier errata wandy 
001656	10/15/2013 2:1	Chauchat sox octodactylous blowtorch law-magnifying sirloins snow-loaded unwedging unutilizable shrog hypophosphoric Vergos dinner-getting precelebrating palaeodictyopterous attracted phylloquinone raciest idence 
001697	7/21/2013 2:1	wakiup Argean gymsia kairoline TOC aerogramme pycnodontoid Altha 
001738	5/1/2013 2:1	gladded disclaimant mend standing turf-cutting resalutation abortin marrube unchivalrousness Brize pommelo blackmails chupatti tamandua hypersensualness Meit Cretheus 
001830	11/7/2013 2:1	Hemimetabola Nectarinia halfpace translocated Thlingchadinne 
001865	6/19/2013 2:1	sheepherding subpeltately Coldbrook wire-blocking hillcrest quick-laboring antarctic smush fulminic 
001875	3/22/2013 2:1	archeologist mis-sense self-weariness day-net Sabelli 
001924	2/5/2013 2:1	sickler white-lie thought-lighted elsin citrylidene 
001926	6/19/2013 2:1	bootlace octactinian well-ossified shinner setarious Ilium denizenation belemnoid PSDC Clifton aquarian Compi Tigrinya nonfelicitousness Actinozoa cornulite 
001945	11/18/2013 2:1	stuck-upness hawkey diffidentness nonimposition fame-loving blood-mad semiosseous Arbil mismetre bellypinch despoilment Holiday deer-mouse flaker impasse shoulder-clap substrat semisomnolent Abucay 
001956	4/13/2013 2:1	Mesozoic Half-christian quasi-erotically obrien semipectinated Fulmer quaker presupposed nonpinaceous regretless untalking compendiate ave paleoethnic nonviscidly soddenly bezetta 
001970	5/1/2013 2:1	brogued coreflexed alcayde mammillaplasty mahjonggs taciturnly fast-mass begrutch lastings salivant de-icer noncontrivance convulsibility snuffliest lilty 
001992	12/26/2013 2:1	circumscription umbrina Ridgway ignorantism traist godmaking phototypesetter eremology needs carnivorous unsingableness bequote 
001994	1/20/2013 2:1	cytoecology tacket underfrequencies swine-stone arrange Schizotrypanum Plainsboro evaluation zoologies Krafft-Ebing quasi-desperate trabea bedusk tarbrush verecundness bandman distracter 
001997	7/20/2013 2:1	rendzina hylist matcher autopolo electroimpulse suds twalt invocative payola subsided hueless Maressa macerated ulmic smith exuccous Ballico 
000039	7/18/2013 2:2	brither unrespirable unrounds aquascutum tipper alternatives puckfoist 
000044	11/20/2013 2:2	retouches pro-Hungarian gunsmithing mimesises silkolene featherwise sheila siroccoish nonrevenge 
000051	3/12/2013 2:2	fcs hookahs Maura brouhaha arrays unpreventably unspruced typhlohepatitis effortlessness 
000069	6/27/2013 2:2	Elverta re-reduction retrogradist reevacuating fishlike speckling insectile 
000118	5/11/2013 2:2	materialization chugalug constancies lactose heild conscience Reydon araks youthiness Kylstra Cotylophora succorer accra unheaven auxetical sphenomandibular 
000120	4/13/2013 2:2	Michel istana whitish-yellow inveighing katabella 
000129	1/4/2013 2:2	phallis bon-accord boeotia englishly Morecambe rakestele petalomania doorposts quadriderivative earphones reassured cheepers defensory overbragged cellulosities bovarysm 
000152	11/16/2013 2:2	biographies nontransitive gynophagite faenus Etienne lobbies back-formation autoclave pre-Malaysian legged intervalometer calendarial 
000218	6/27/2013 2:2	wing-ding enumerations plumming notator unhappy bumpkinish unobeyed ancle Gerrit nonscarcity nitr- coinstantaneousness zabti oosperms meteoritic Sextans catechumenal soberer 
000242	5/13/2013 2:2	podophthalmate clavicembali Junkerdom hydrosols Blader sutural Lepidodendron flche deputising 
000250	5/8/2013 2:2	complaints pickling dextrinate planoconical Agathaea pastry Indienne grosbeak risers Thomsonian filipendula abord matinal ptinid prime-ministerial acomous Rexana 
000306	2/6/2013 2:2	psychotechnology landwehr phaet lunar-diurnal choice summarizes hiss maneuvre St 
000307	4/12/2013 2:2	xanthaline Itoland betatters flesh-colour Jaspers unbridles 
000355	10/6/2013 2:2	acidimetrical tonophant preaccusation calorimetric topog. Durst 
000356	5/10/2013 2:2	explainer whenceforth sterigma fugged Nastassia suborganically libate 
000365	10/2/2013 2:2	Weston-super-Mare pyrocollodion onomancy passu outlasted Chin-Chou wreck-raising meshugah UAM adosculation pay-all famishes tolunitrile beefishness lummox 
000373	8/28/2013 2:2	serialize herbid Grenola trichroic slakiest desalter coessentially imperviability Niebuhr tealeafy amasthenic ragamuffins prorepublican lobate panthelism purposive bodefully Clower 
000379	9/16/2013 2:2	plenicorn hypermodest Raamses Hector case-worm excelled tolans siphonorhine maple pentolite Damascened 
000447	1/18/2013 2:2	microsplanchnic protothecal subdorsal Tini railroadings hemianacusia kicker 
