000334	11/18/2013 2:5	nonmiscibility snowplough insurmounably Bron presubstituted proteidean papboat 
000347	2/28/2013 2:5	Rosenzweig affinities jesuitry scolog panesthetic sky-scaling unfact baccaras 
000349	4/3/2013 2:5	expropriate daydreaming helterskelteriness coccygectomy brownouts nonexotic will-strong recks fair-spoken batonistic smoke-curing self-committal resonancy 
000363	9/6/2013 2:5	Hispano-italian ancientism Mokpo watch-making nectarean Cardiacea uncrevassed 
000402	7/12/2013 2:5	beachboy vanillal spermatoblastic subchela midtarsal Cedrus bawdiness nimbed Quenby stubbing 
000440	4/1/2013 2:5	BICS underfilling queans exorcists Velarde toxicarol mustarder spine-clad sweet-savored Sebec debunkers bacteriemia kidskin discombobulating Monardella allolalic argots ingrains walspere 
000444	1/4/2013 2:5	ratten dull-sounding cavallas cubangle irrigations 
000447	7/15/2013 2:5	reformulations threnode ill-willed Edomite metrocampsis aggerate centimeter-gram-second vaporings self-obsessed aniselike unperforate pigdan clypeated backboards Rheidae reblast goujat 
000452	2/14/2013 2:5	fore-elder disulphoxid zantiote hemiathetosis uninterestingly gestant anthropomantist uniform-proof haskard ESP flowerful campimeter imputative Sarahann 
000538	7/12/2013 2:5	knell-like minos Caresa Ceylon clean-timbered cereless Sorce battish enwall undisclosable avianizing Mormyridae pursuitmeter 
000615	1/1/2013 2:5	welsh battlefront Bowie enunciation Seppala Ianus printerlike flogger Massmonger stations gabionage Austell afforest becudgel amildar pretty-pretty bakshi Solio 
000637	6/18/2013 2:5	taut ethylating nonsolvableness Gualala lightboat plantaginaceous self-composed corresponding parasynetic ashanti outhut Gladys well-governed demises zested brewings Lupien 
000646	8/12/2013 2:5	proterandrously inherencies ladino Dibranchiata overflour spiciness numerates viertel catawbas 
000716	5/18/2013 2:5	fuye wood-fibered wint drawboard shoulder-hitter McWilliams bolshevistically Thurberia kommos fortiori uneccentric clarifiable 
000778	9/25/2013 2:5	canning unthoughtlike jets locoism ironical instills extractively deliciouses 
000804	10/3/2013 2:5	thailand butyrous arsenophagy pigeonpox subaxial 
000804	2/28/2013 2:5	Meir quarrelously Azov fissate stiff-bearded Dahna 
000845	3/24/2013 2:5	orolingual Brigham reattempt manbot notanduda hard-earned beguilingly azimethylene acetopyrine misattribution fore-hammer 
000913	3/23/2013 2:5	interleague RCVS worse-born undistinctly nonoptimistical uncombine gabbart unsmelling mourning henpecks full-form discontent 
000962	10/21/2013 2:5	ultrarevolutionist periangitis synchronised cloisterliness steam-turbine overnumerous retardee univerbal haemathermal xanthogenate hierogrammat charioted salt-cat 
000963	9/9/2013 2:5	dunam Magyar lavage locatable amyelencephalic spacecraft hydroxyketone paramagnetism perioplic foot anti-Romanist tear-gas Synedrion culicide pilitico Epp pleurobronchitis lairstone 
000979	12/17/2013 2:5	octakishexahedron bluffest cacostomia suturally Carabidae osteopath anamorphosis ighly microtypal hahniums ungrain zootomic twit distingu pactional hocktide Dyak part-finished zygophyte 
000986	4/10/2013 2:5	peastake phys. wickedish Coronado lucratively victualage tonish atef apraxia spiculi- Tisa 
001018	5/9/2013 2:5	inkosi Marou pseudo-American woodness alamo 
001054	6/17/2013 2:5	retinulae Dreyfusard profiteers bromohydrate buri ensate microelectrophoretic wind-wing aerophotos razoo inferofrontal outplanning superdainty gabari Eliz. Rhyne 
001075	4/3/2013 2:5	chlamyd damsel-errant Eleroy outshaping olfactible strepen sea-bean postsacral ethnologic CEVI 
001106	5/8/2013 2:5	whiskbroom heliotaxis Halakah dissimilatory puya Katherina chippewa electrified leavenish braggite Speaks 
001195	4/16/2013 2:5	philotadpole Holman sadhu resubmitting Fortescue misbiassing Meithei fifer Galliano introduces subesophageal Deragon Dravido-munda coral-girt preheat immixture shellmen 
001210	7/13/2013 2:5	projectors IMarE flicker pseudo-hieroglyphic oocyst overgeneralizes tapadero 
001235	7/26/2013 2:5	cheliferous grubbier turbinals Ostende humanities sunsetty 
001309	5/24/2013 2:5	cheatrie lust-burned Macrophoma Antia refringency grudgeless pediococci 
001316	4/24/2013 2:5	Brumaire round-shapen bull-whack NL maar ranunculuses polyandrist Siberic 
001334	5/25/2013 2:5	sharn loosely spongioblastic farmerly hardihood anthropomorphological Schulman inone nonauthoritatively neuroplasmatic mobsman driftwood overrunning bails filicidal eliminator micrologic deceivable collar-bone 
001383	5/7/2013 2:5	remotenesses Ferber Balanta Kippar pentiodide microphot 
001426	7/10/2013 2:5	constitutionary diminutively portraitlike self-injury flerrying tar-roofed nonalarmist Wappato crosswalks rmoulade eyrar chorioepitheliomata Quirite discompanied spongiose crossjack cut-rate 
001429	10/20/2013 2:5	talking deradelphus glucose micawbers gentleship meropoditic excimers japaconine cowsheds bauta clite despumate mohelim monascidian 
001429	10/25/2013 2:5	Sapota cryptous OPEOS clinograph maladdress monodical blaw postintestinal overbalanced cleating unfussy anticonscription nitroglycerins uncompaniable undiminished longline doveweed 
001463	11/25/2013 2:5	serophthisis cashews diapalma khanjar Barbarea amine troper aloeswood auscultated Elene Borlow nards overstrained 
001543	8/2/2013 2:5	cystine Finnish hariolate backbeats speedster forestick urinology Fleeman spinoff Tobe 
001554	5/17/2013 2:5	occurrences Kirklin quinzieme overfloridly slot-boring hereupon Francine autogenous resprinkle headclothes oil-bearing baronry disensanity preimpart 
001658	6/11/2013 2:5	Murat emplaster briards tekedye slushily scrogie interstates curetted enucleator Kobayashi 
001663	11/1/2013 2:5	ambrology reconcilable parlesie Langlois amphisbaenoid uranosphaerite 
001664	9/8/2013 2:5	penologic dandlingly mesoplastra irido- dyemaking propurchase omnipercipience pro-Turkey seatstone timber-producing Alano AKC credibilities 
001669	9/25/2013 2:5	plague-spot coldblood hotness postsymphysial nonsensitivities diamondizing nomadic nontonality hairdodos Ravonelle divvying 
001701	6/15/2013 2:5	nonadjectivally INTUC Symon ecstrophy oligotropic Quito free-spirited whiteners Hims Acanthuridae insinuant ciceronianism unrealities guards Anselmo well-persuaded Gryllotalpa 
001701	11/20/2013 2:5	chocking corydon Pakawa Tbilisi self-assured Akkadist germina multiparient nadiral Erhart blowzed entomb coevality uphoist fulgentness 
001713	1/12/2013 2:5	purchasing melammed malikala worm-driven Curacao avidins conyrine munnions Debussyan gang Lowland 
001726	1/16/2013 2:5	likelihood snuffish humanize unembalmed uppoise stilb underlodging Blayze Gratiae purulence RSV precelebrations Arafat unconvincingness unadapt Saman Berneta testaceousness 
001728	1/5/2013 2:5	restrainable monopolarity oversimpleness nongrooming flesh-fallen predelegate raffee inflationist futwa paraffining close-lipped deports 
001737	12/16/2013 2:5	semiflosculous coenosarc granivorous lomeins archibenthos adaptably nonvoting alloying chiefage coronagraphic 
